"CVE_MUN","coords.x1","coords.x2"
"01002",2495320.67007138,1123052.74148642
"01011",2476476.21688002,1112780.03764869
"01007",2465064.92068292,1138616.66478654
"01008",2446037.48835459,1125367.25988608
"01005",2454187.09334985,1101710.70401887
"01009",2480295.9403468,1135235.65044338
"01001",2469560.27961734,1088371.8075474
"01006",2469029.42423775,1120668.18151955
"01010",2496358.49626822,1100471.97759707
"01003",2427526.30498183,1098350.34900881
"01004",2469565.6501805,1148876.04104626
"02005",1090426.61951948,2316050.84910782
"02003",1151159.77159639,2330954.87673401
"02004",1098843.96940445,2332138.00946195
"02002",1248372.00532853,2243071.92331281
"02001",1252048.71419229,2052135.53344041
"03008",1711419.92186059,1271039.71035921
"03009",1558730.42336501,1575628.02432809
"03003",1625305.90668675,1376763.91610618
"03001",1518369.45254827,1527168.53230436
"03002",1393199.6735818,1735210.04256158
"04007",3557941.08915175,735015.451379503
"04002",3725490.37959638,896546.800255759
"04010",3800137.16905355,768187.403376936
"04003",3607544.36680369,766338.895837489
"04004",3705576.88765256,841457.445748256
"04011",3691856.94254553,725651.153423723
"04001",3723711.62330058,981349.615863734
"04008",3725897.4056991,935634.07433215
"04009",3713363.46065955,777429.302659192
"04006",3795452.98924237,886561.392091508
"04005",3734630.2734726,953492.508872492
"05035",2374771.06497141,1458851.95675088
"05022",2634830.24485795,1826207.12998997
"05020",2509855.45948803,1815186.02019902
"05010",2546665.71627983,1654484.41261615
"05026",2596479.20823073,1707060.5107179
"05009",2382593.52556333,1585598.41195284
"05033",2428465.64677973,1559276.19132244
"05012",2657486.22492552,1782291.72141627
"05017",2378493.64842533,1501816.00221472
"05001",2574521.06919192,1673894.69276868
"05038",2559035.52370918,1860604.35675089
"05016",2508525.24340652,1676806.37963396
"05031",2503196.48883893,1752910.77227767
"05029",2524093.37155608,1653559.6353055
"05013",2691529.19531294,1754193.5931579
"05036",2407276.95245548,1464340.19353796
"05021",2523177.05331265,1685335.67780114
"05025",2635123.59963325,1857569.82611323
"05011",2544920.46088842,1497160.24911787
"05008",2571089.06242053,1694157.04525206
"05024",2488563.12463877,1495098.22287053
"05006",2560841.58221644,1614639.64746002
"05023",2412408.89866182,1766963.58370363
"05019",2589706.49627199,1807188.27945169
"05028",2584147.57440851,1762364.98684545
"05002",2499022.10550702,1929281.28897534
"05003",2606129.4684612,1801834.34326711
"05005",2618874.82172641,1644387.36308191
"05004",2635997.59048529,1477871.48156062
"05015",2628560.50876648,1733285.22732863
"05037",2619586.97112906,1781925.13304431
"05032",2559857.29077367,1777851.4966232
"05018",2579736.17815039,1649022.98887782
"05034",2341421.00050943,1714106.68898894
