id|nombre|tipo|fuente|metadata|actualizacion_sedesol|data_date
cve_ent|Clave del estado|Ubicación|INEGI|{"level": "e"}|2018-12-07|2018-a
inform|Índice INFORM|||{}|2018-12-07|2018-a
amenazas_y_exposicion|Dimensión amenazas y exposicion|||{}|2018-12-07|2018-a
falta_de_capacidades_de_respuesta|Dimensión falta de capacidades de respuesta|||{}|2018-12-07|2018-a
vulnerabilidad|Dimensión vulnerabilidad|||{}|2018-12-07|2018-a
gp_inundac|Grado de peligro por inundación|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-a
gp_sequia2|Grado de peligro por sequía|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-a
gp_bajaste|Grado de peligro por bajas temperaturas|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-a
gp_ciclnes|Grado de peligro por ciclón|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-a
g_suscelad|Grado de susceptibilidad de laderas|Fenómeno Geológico|Cenapred|{}|2018-12-07|2018-a
gp_sismico|Grado de peligro por sismo|Fenómeno Geológico|Cenapred|{}|2018-12-07|2018-a
gp_tsunami|Grado de peligro por tsunami|Fenómeno Geológico|Cenapred|{}|2018-12-07|2018-a
homicidio_culposo_tasa|Tasa de homicidios culposos|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de homicidios por cada 100 mil habitantes. (Culposos)"}|2018-12-07|2018-a
homicidio_dolos_tasao|Tasa de homicidios dolosos|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de homicidios por cada 100 mil habitantes. (Dolosos)"}|2018-12-07|2018-a
feminicidio_tasa|Tasa de feminicidio|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de feminicidios por cada 100 mil habitantes."}|2018-12-07|2018-a
secuestro_tasa|Tasa de secuestro|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de secuestros por cada 100 mil habitantes."}|2018-12-07|2018-a
robo_vehiculos_tasa|Tasa de robo de vehículos|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de robo de vehículos por cada 100 mil habitantes."}|2018-12-07|2018-a
violencia_familiar_tasa|Tasa de violencia familiar|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Numero de delitos del tipo violencia familiar por cada 100 mil habitantes."}|2018-12-07|2018-a
tasa_flot_esc|Tasa de población flotante por escuela|Demográficos|INEGI|{"equation": "Número de personas que asisten a la escuela en un municipio distinto a donde residen/población municipal"}|2018-12-07|2018-a
tasa_flot_trab|Tasa de población flotante por trabajo|Demográficos|INEGI|{"equation": "Número de personas que trabajan en un municipio distinto a donde residen/población municipal"}|2018-12-07|2018-a
ipc_dif|Índice de inflación|Económicas|IPC|{"description":"Calculado a partir de la serie general del IPC de INEGI ponderando por la distancia a ciudades cercanas"}|2018-12-07|2018-a
migracion_interna_reciente|Tasa de migración interna reciente|Demográficos|INEGI|{"equation": "Número de personas que cambiaron de municipio de residencia en los últimos 5 años/población municipal"}|2018-12-07|2018-a
migracion_externa_reciente|Tasa de migración externa reciente|Demográficos|INEGI|{"equation": "Número de personas que cambiaron de país de residencia en los últimos 5 años/población municipal"}|2018-12-07|2018-a
nd_spnn1|Existencia de Atlas de Riesgo|Gestión de Riesgo de Desastre|INEGI|{}|2018-12-07|2018-a
nd_nsnn4|Existencia de unidad de protección civil|Gestión de Riesgo de Desastre|INEGI|{}|2018-12-07|2018-a
num_jueces|Número de jueces por cada 1000 habitantes|Acceso a la Justicia|INEGI|{}|2018-12-07|2018-a
num_agentes_fiscales|Número de agentes por cada 1000 habitantes|Acceso a la Justicia|INEGI|{}|2018-12-07|2018-a
gobiernos|Subíndice Gobierno eficiente y eficaz|Acceso a la Justicia y Gobernabilidad|IMCO|{}|2018-12-07|2018-a
indice|índice de Reglamentación Básica Municipal|Reglamentación Básica|INAFED|{}|2018-12-07|2018-a
mec_tran|Existencia de mecanismos de transparencia||INEGI|{}|2018-12-07|2018-a
nd_nsnn1|Existencia de organismos para participación ciudadana|Gobernabilidad|INEGI|{}|2018-12-07|2018-a
politico|Subíndice Sistema político estable y funcional|Acceso a la Justicia y Gobernabilidad|IMCO|{}|2018-12-07|2018-a
aut_cobr|Existencia del cobro del predial por parte del municipio|Finanzas Públicas|INEGI|{}|2018-12-07|2018-a
totalpo1|Porcentaje del predial programado cobrado|Finanzas Públicas|INEGI|{}|2018-12-07|2018-a
capacidad_inversion|Capacidad de inversión|Finanzas Públicas|INAFED|{}|2018-12-07|2018-a
flexibilidad_financiera|Flexibilidad financiera|Finanzas Públicas|INAFED|{}|2018-12-07|2018-a
endeudamiento|Endeudamiento|Finanzas Públicas|SHCP Sistema de alertas|{"description":"La Ley establece que se deben de considerar tres indicadores para la evaluación del nivel de endeudamiento del Ente Público local. Indicador 1. Deuda Pública y Obligaciones, Indicador 2. Servicio de la Deuda y Obligaciones e Indicador 3. Obligaciones a Corto Plazo y Proveedores y Contratistas."}|2018-12-07|2018-a
