id|nombre|tipo|fuente|metadata|actualizacion_sedesol|data_date
cve_muni|Clave del municipio|Ubicación|INEGI|{"level": "m"}|2018-12-07|2018-10-m
gp_inundac|Grado de peligro por inundación|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-10-m
gp_sequia2|Grado de peligro por sequía|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-10-m
gp_bajaste|Grado de peligro por bajas temperaturas|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-10-m
gp_ciclnes|Grado de peligro por ciclón|Fenómeno Hidrometeorológico|Cenapred|{}|2018-12-07|2018-10-m
g_suscelad|Grado de susceptibilidad de laderas|Fenómeno Geológico|Cenapred|{}|2018-12-07|2018-10-m
gp_sismico|Grado de peligro por sismo|Fenómeno Geológico|Cenapred|{}|2018-12-07|2018-10-m
gp_tsunami|Grado de peligro por tsunami|Fenómeno Geológico|Cenapred|{}|2018-12-07|2018-10-m
homicidio_culposo_tasa|Tasa de homicidios culposos|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de homicidios por cada 100 mil habitantes. (Culposos)"}|2018-12-07|2018-10-m
homicidio_dolos_tasao|Tasa de homicidios dolosos|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de homicidios por cada 100 mil habitantes. (Dolosos)"}|2018-12-07|2018-10-m
feminicidio_tasa|Tasa de feminicidio|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de feminicidios por cada 100 mil habitantes."}|2018-12-07|2018-10-m
secuestro_tasa|Tasa de secuestro|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de secuestros por cada 100 mil habitantes."}|2018-12-07|2018-10-m
robo_vehiculos_tasa|Tasa de robo de vehículos|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Número de robo de vehículos por cada 100 mil habitantes."}|2018-12-07|2018-10-m
violencia_familiar_tasa|Tasa de violencia familiar|Violencia y delincuencia|Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública|{"description":"Numero de delitos del tipo violencia familiar por cada 100 mil habitantes."}|2018-12-07|2018-10-m
tasa_flot_esc|Tasa de población flotante por escuela|Demográficos|INEGI|{"equation": "Número de personas que asisten a la escuela en un municipio distinto a donde residen/población municipal"}|2018-12-07|2018-10-m
tasa_flot_trab|Tasa de población flotante por trabajo|Demográficos|INEGI|{"equation": "Número de personas que trabajan en un municipio distinto a donde residen/población municipal"}|2018-12-07|2018-10-m
migracion_interna_reciente|Tasa de migración interna reciente|Demográficos|INEGI|{"equation": "Número de personas que cambiaron de municipio de residencia en los últimos 5 años/población municipal"}|2018-12-07|2018-10-m
