id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
a_reglam|Reglamento de construcción|CENAPRED|servicios2.cenapred.unam.mx|capacidades|institutcional|anual |2017-08-16 21:47:04.376652|SISI|2017-a
aeropuerto|Aeropuertos|CENAPRED|servicios2.cenapred.unam.mx|capacidades|infraestructura|anual |2017-08-16 21:47:04.376652|SISI|2017-a
bancos|Bancos|CENAPRED|servicios2.cenapred.unam.mx|capacidades|infraestructura|anual |2017-08-16 21:47:04.376652|SISI|2017-a
cc_hidro|Contingencias climatológicas hidrometeorológicas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
cve_muni|Clave de Municipio|CENAPRED|servicios2.cenapred.unam.mx|NO|NO|anual |2017-08-16 21:47:04.376652|SISI|2017-a
declarator|Total de declaratorias|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
d_geo|Desastres geológicos|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
d_hidro|Desastres hidrometeorológicos|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
d_qui|Desastres químicos|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
e_geo|Emergencias geológicas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
e_hidro|Emergencias  hidrometeorológicos|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
e_qui|Emergencias químicas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
e_sani|Emergencias sanitarias|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_bajas_temperaturas|Bajas Temperaturas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_ciclones|Ciclones Tropicales|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_granizo|Granizo|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_inundaciones|Inundaciones|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_nevadas|Nevadas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_sequia2|Sequías|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_sismico|Sísmico|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_sustancias_inflamables|Por Sustancias Inflamables|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_Sustancias_toxicas|Por Sustancias Tóxicas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_tormentas_electricas|Tormentas Eléctricas|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
gp_tsunami|Por Tsunami|CENAPRED|servicios2.cenapred.unam.mx|amenazas|naturales|anual |2017-08-16 21:47:04.376652|SISI|2017-a
