id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
aps_folio|Folio|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
aps_entidad|Entidad federativa|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_serv|Servicio de drenaje|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_cab|Servicio de drenaje en la cabecera|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_resto|Servicio de drenaje en el resto del municipio|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_pluvial|Sistemas separados|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_ext_kms|Extension |INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_red|Red de drenaje de aguas residuales municipales|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_lugr_planta_trat|Planta de tratamiento de aguas residuales municipales |INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_lugr_laguna_oxi|Laguna de oxidacio_n para aguas residuales municipales |INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_lugr_cuerp_agua|Cuerpo de agua |INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_lugr_otro|Otro|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_lugr_cuerp_agua_esp|Especificar el cuerpo|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
sd_dren_lugr_otro_esp|Especificar otro elemento o lugar |INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017/microdatos/m5/Drenaje_alcant_cngmd2017_dbf.zip|Capacidades|Sistema de Gestion Municipal|2017.0|2018-08-06 20:00:41.589867||na-fixed
actualizacion_sedesol|||||||2018-08-06 20:00:41.589867||na-fixed
data_date|||||||2018-08-06 20:00:41.589867||na-fixed
