id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
rsu_folio|Folio|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_cve_ent|Entidad federativa|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_recl_serv|Recolecci?n de residuos s?lidos urbanos|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
basura_cant_ton|Toneladas recolectadas|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
basura_cant_kgs|Kilogramos recolectados|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
basura_porcent_cab|Porcentaje generado diariamente|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
basura_metodo_med|M?todo de medida|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576|"{""1-Pesaje""|""2-Veh?culos""|""3. Otra""}'"|na-fixed
basura_metodo_med_esp|Especificaci?n de medida|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
basura_recl_sis|Sistema de recolecci?n|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
basura_recl_sis_otr_esp|Especificaci?n de sistema|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_recl_vehi_tot|Veh?culos|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_tip_01|Tipo de veh?culo|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_num_01|N?mero de veh?culos|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_tip_02|Tipo de veh?culo|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_num_02|N?mero de veh?culos|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_tip_03|Tipo de veh?culo|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_num_03|N?mero de veh?culos|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
rsu_vehi_tip_04|Tipo de veh?culo|INEGI CNGMD|http://www.beta.inegi.org.mx/contenidos/proyectos/censosgobierno/municipal/cngmd/2017}/microdatos/m6/Rec_RSU_cngmd2017_dbf.zip|Capacidades|Sistema de Gesti?n Municipal|2017.0|2018-08-14 20:09:14.656576||na-fixed
