id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
proyecto|Proyecto|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431|1. MCS; 2. ENIGH|2010-a
folioviv|Folio de la vivienda|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
foliohog|Folio del hogar|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
numren|Número de renglón|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
tam_loc|Tamaño de la localidad|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431|1. Localidades con 100 000 y más habitantes; 2. Localidades con 15 000 a 99 999 habitantes; 3. Localidades con 2 500 a 14 999 habitantes; 4. Localidades con menos de 2500 habitantes|2010-a
rururb|Identificador de localidades rurales|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431|0. Localidades urbanas; 1. Localidades rurales|2010-a
ent|Identificador de la entidad federativa|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
edad|Edad reportada al momento de la entrevista|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
sexo|Sexo|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431|1. Masculino; 2. Femenino|2010-a
tamhogesc|Tamaño de hogar ajustado|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
ic_rezedu|Indicador de carencia por rezago educativo|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
anac_e|Año de nacimiento|CONEVAL|http://complejidad.datos.gob.mx/|Vulnerabilidades|Pobreza|2010-2016|2017-09-13 02:35:16.893431||2010-a
