id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
ent|Identificador de la entidad federativa|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
entidad|Nombre entidad federativa|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
cve_muni|Identificador del municipio|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
municipio|Nombre del municipio|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
pob_tot|Población total|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
pobreza_porcentaje|Pobreza porcentaje|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
pobreza_num|Pobreza|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
pobreza_carencias|Promedio de carencias de población en pobreza|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
pobreza_e_porcentaje|Pobreza extrema porcentaje|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
pobreza_e_num|Pobreza extrema|CONEVAL|http://www.coneval.org.mx/Medicion/Documents/Pobreza_municipal/Anexo_estadistico.zip|Vulnerabilidades|Pobreza|2000-2015|2017-12-15 22:16:58.497416|Fuente: estimaciones del CONEVAL con base en el MCS-ENIGH 2010, la muestra del Censo de Población y Vivienda 2010, el Modelo Estadístico 2015 para la continuidad del MCS-ENIGH y la Encuesta Intercensal 2015. La población presentada en estos cuadros tiene un propósito exclusivamente estadístico: está calibrada para que, en las estimaciones de pobreza, la suma de la población municipal sea igual a la población de cada entidad federativa reportada con base en la información del MCS-ENIGH 2010 o del MEC 2015 del MCS-ENIGH publicados.|2010-a
