id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
cuaps_folio|Folio CUAPS|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
csc_estatus_cuaps_fk|Estatus CUAPS|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:'Exitoso', 2:'Captura Incompleta'}|na-fixed
chr_nombre_programa_cuaps|Nombre del Programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tiene_componentes|El programa cuenta con componentes|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:True, 2:False}|na-fixed
id_componente|Identificador del componente|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Id en función del orden de captura|na-fixed
nombre_componente|Nombre del componente|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
obj_compo|Objetivo específico del componente|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
pob_compo|Población objetivo del componente|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
ap_compo|Total de apoyos que forman parte de este componente|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Numérica|na-fixed
id_apoyo|Identificador del apoyos|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Id en función del orden de captura|na-fixed
nombre_apoyo|Nombre del apoyo|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
descr_apoyo|Descripción del apoyo|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tipo_pob_apo_cod|Tipo de población a la que se entrega el apoyo|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:'Persona', 2:'Hogar', 3:'Vivienda', 4:'Actor Social', 5:'Área de Atención Social', 6:'Otro'}|na-fixed
tipo_pob_apo|Tipo de población a la que se entrega el apoyo|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tipo_pob_apo_otro|Otro tipo de población a la que se entrega el apoyo|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tipo_apoyo_mon|El tipo de apoyo es monetario|CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
tipo_apoyo_sub|El tipo de apoyo es un subsidio |CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
tipo_apoyo_esp|El tipo de apoyo es en especie |CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
tipo_apoyo_obra|El tipo de apoyo es obra |CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
tipo_apoyo_serv|El tipo de apoyo es un servicio |CUAPS|www.gob.mx/sedesol|Programas|Cuestionario|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
