id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
cuaps_folio|Folio CUAPS|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
fh_levantamiento|Fecha de inicio de levantamiento|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Timestamp|na-fixed
fh_fin_levantamiento|Fecha de fin de levantamiento|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Timestamp|na-fixed
chr_usuario|Correo electrónico del usuario titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
csc_estatus_cuaps_fk|Estatus CUAPS|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{1:'Exitoso', 2:'Captura Incompleta'}|na-fixed
chr_nombre_programa_cuaps|Nombre del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
chr_clave_prespupuestal_pro|Clave presupuestal del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{}|na-fixed
chr_descripcion_dependencia|Nombre de la dependencia responsable|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
chr_cve_dependencia|Clave de la dependencia responsable|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{}|na-fixed
chr_unidad_administrativa_cuaps|Nombre de la unidad administrativa |CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
chr_cve_unidad_adm_cuaps|Clave de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{}|na-fixed
orden_gob|Orden de gobierno responsable del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{1:'Federal', 2:'Estatal', 3:'Municipal'}|na-fixed
part_ua|Forma de participación de la unidad administrativa en el programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{}|na-fixed
tua_nombre|Nombre del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tua_primer_ap|Primer apellido del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tua_segundo_ap|Segundo apellido del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tua_cargo|Cargo del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
tua_tel|Teléfono del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Bigint|na-fixed
tua_ext|Extensión del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Int|na-fixed
tua_correo|Correo electrónico institucional del titular de la unidad administrativa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
rp_nombre|Nombre del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
rp_primer_ap|Primer apellido del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
rp_segundo_ap|Segundo apellido del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
rp_cargo|Cargo del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
rp_tel|Teléfono del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Bigint|na-fixed
rp_ext|Extensión del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Int|na-fixed
rp_correo|Correo electrónico institucional del titular del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
ep_nombre|Nombre del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
ep_primer_ap|Primer apellido del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
ep_segundo_ap|Segundo apellido del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
ep_cargo|Cargo del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
ep_tel|Teléfono del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Bigint|na-fixed
ep_ext|Extensión del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Int|na-fixed
ep_correo|Correo electrónico del enlace del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
anio_inicio_prog|Año de inicio de operación del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Int|na-fixed
doc_norma|El programa cuenta con algún documento normativo que rija su operación|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
doc_supweb|Existe algún sitio web donde se detalle la información del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
nom_doc_norma|Nombre completo del documento normativo vigente que rige la operación del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
sitio_web|El documento normativo se encuentra disponible en algún sitio web|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|{1:True, 0:False}|na-fixed
chr_doc_norma|Nombre del archivo del documento normativo que se adjunta al CUAPS|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
csc_archivo|Llave Archivo PDF que se adjunta|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
sitio_web_esp|Enlace electrónico directo del documento normativo|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
obj_gral_prog|Objetivo general del programa|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
obj_esp_prog_1|Objetivo específico del programa 1|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
obj_esp_prog_2|Objetivo específico del programa 2|CUAPS|www.gob.mx/sedesol|Programas|Cuestionarios|Anual|2018-07-31 18:34:50.955489|Text|na-fixed
