id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
d_llave|Identificación|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=6|economia|laboral||2017-09-12 14:59:28.565629|Número de identificación del DENUE, es una clave numérica única para cada registro de la base de datos del Directorio Estadístico Nacional de Unidades Económicas (DENUE).|2017-a
nom_est|Nombre Establecimiento|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=7|economia|laboral||2017-09-12 14:59:28.565629|Es el nombre comercial o nombre exterior con el que se identifica o anuncia la unidad económica.Generalmente es fácil reconocerlo porque está visible y escrito en rótulos, fachadas o anuncios luminosos. Ejemplo: ABARROTES LUPITA.Cuando la unidad económica no tiene ningún apelativo comercial, entonces se registra con el nombre genérico de la actividad o la descripción de la actividad económica, ejemplo: ABARROTES o Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas.|2017-a
raz_soc|Razón Social|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=8|economia|laboral||2017-09-12 14:59:28.565629|Es la forma con que está legalmente constituida y registrada la persona moral, o la denominación de una sociedad legalmente constituida.Es importante considerar que en algunas sociedades mercantiles, la razón social y el nombre comercial pueden ser los mismos, ejemplo: GILSA, S.A. de C.V.Cuando la unidad económica pertenece a una persona física, el dato no se incluye para proteger la confidencialidad de la información.|2017-a
cve_scian|Clave SCIAN|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=9|economia|laboral||2017-09-12 14:59:28.565629|La clasificación de las actividades desarrolladas por las unidades económicas debe hacerse utilizando el SCIAN y sus actualizaciones, con base en lo dispuesto en el acuerdo para el uso del SCIAN y en la recopilación, análisis y presentación de estadísticas económicas, publicado en el Diario Oficial de la Federación del 10 de julio de 2009.El código está asignado con base en la actividad principal que desarrolla la unidad económica y de acuerdo con el Sistema de Clasificación Industrial para América del Norte, versión 2013.Para la asignación del código de actividad correspondiente, según el SCIAN 2013, se consideraron tanto los productos (bienes y servicios) desarrollados por el establecimiento como sus procesos de producción.|2017-a
desc_scian|Descripción SCIAN|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=10|economia|laboral||2017-09-12 14:59:28.565629|Descripción del código de actividad conforme al SCIAN 2013.|2017-a
estr_poc|Personal Ocupado (Categoría)|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=11|economia|laboral||2017-09-12 14:59:28.565629|Comprende al personal contratado directamente por la razón social y al personal ajeno suministrado por otra razón social, que trabajó para la unidad económica, sujeto a su dirección y control y que cubrió, como mínimo, una tercera parte de la jornada laboral. Puede ser personal de planta, eventual remunerado o no remunerado.Las unidades económicas se clasifican por rangos de personal ocupado, que permiten identificar el tamaño de Unidades Económicas por el número de personal que emplean; es decir, según su personal ocupado total. Para el Directorio las Unidades Económicas están agrupadas en rangos o estratos de personal ocupado, con base en el personal ocupado total reportado por éstas, como se indica en la siguiente tabla.Personal Ocupado (1 = 0 a 5),(2 = 6 a 10),(3 = 11 a 30),(4 = 31 a 50),(5 = 51 a 100),(6 = 101 a 250),(7 = 251 y más)|2017-a
tipovial|Tipo Vial |INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=12|economia|laboral||2017-09-12 14:59:28.565629|Es la superficie del terreno destinada para el tránsito vehicular y/o peatonal, en la cual se encuentra ubicada la unidad económica (calle, avenida, andador, etc.)|2017-a
nomvial|Nombre de la Vialidad más próxima a la Unidad Económica|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=13|economia|laboral||2017-09-12 14:59:28.565629|Es el sustantivo propio con el cual se identifica la vialidad.|2017-a
tiporef1|Tipo de Referencia 1|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=14|economia|laboral||2017-09-12 14:59:28.565629|Es la superficie del terreno destinada para el tránsito vehicular y/o peatonal, en la cual se encuentra ubicada la unidad económica (calle, avenida, andador, etc.)|2017-a
nomref1|Nombre de Referencia 1|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=15|economia|laboral||2017-09-12 14:59:28.565629|Es el sustantivo propio con el cual se identifica la vialidad.|2017-a
tiporef2|Tipo de Referencia 2|INEGI|http://www.beta.inegi.org.mx/app/descarga/?ti=16|economia|laboral||2017-09-12 14:59:28.565629|Es la superficie del terreno destinada para el tránsito vehicular y/o peatonal, en la cual se encuentra ubicada la unidad económica (calle, avenida, andador, etc.)|2017-a
