id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
tipo_encue|||||||2018-07-06 18:33:23.105661||2016-a
programa|||||||2018-07-06 18:33:23.105661||2016-a
tipo_levan|||||||2018-07-06 18:33:23.105661||2016-a
folio|||||||2018-07-06 18:33:23.105661||2016-a
folio_sede|||||||2018-07-06 18:33:23.105661||2016-a
ent_fed|||||||2018-07-06 18:33:23.105661||2016-a
munici|||||||2018-07-06 18:33:23.105661||2016-a
locali|||||||2018-07-06 18:33:23.105661||2016-a
folio_enca|||||||2018-07-06 18:33:23.105661||2016-a
familia_id|||||||2018-07-06 18:33:23.105661||2016-a
doc_identi|||||||2018-07-06 18:33:23.105661||2016-a
folio_iden|||||||2018-07-06 18:33:23.105661||2016-a
doc_edad|||||||2018-07-06 18:33:23.105661||2016-a
folio_edad|||||||2018-07-06 18:33:23.105661||2016-a
per_viv|||||||2018-07-06 18:33:23.105661||2016-a
tot_hog|||||||2018-07-06 18:33:23.105661||2016-a
tot_per|||||||2018-07-06 18:33:23.105661||2016-a
per_gasto|||||||2018-07-06 18:33:23.105661||2016-a
per_alim|||||||2018-07-06 18:33:23.105661||2016-a
per_info|||||||2018-07-06 18:33:23.105661||2016-a
con_remesa|||||||2018-07-06 18:33:23.105661||2016-a
ut_cuida1|||||||2018-07-06 18:33:23.105661||2016-a
ut_cuida2|||||||2018-07-06 18:33:23.105661||2016-a
ut_volun1|||||||2018-07-06 18:33:23.105661||2016-a
ut_volun2|||||||2018-07-06 18:33:23.105661||2016-a
ut_repara1|||||||2018-07-06 18:33:23.105661||2016-a
ut_repara2|||||||2018-07-06 18:33:23.105661||2016-a
ut_limpia1|||||||2018-07-06 18:33:23.105661||2016-a
ut_limpia2|||||||2018-07-06 18:33:23.105661||2016-a
ut_acarre1|||||||2018-07-06 18:33:23.105661||2016-a
ut_acarre2|||||||2018-07-06 18:33:23.105661||2016-a
gas_alim|||||||2018-07-06 18:33:23.105661||2016-a
gas_vest|||||||2018-07-06 18:33:23.105661||2016-a
gas_educ|||||||2018-07-06 18:33:23.105661||2016-a
com_xdia|||||||2018-07-06 18:33:23.105661||2016-a
cereal|||||||2018-07-06 18:33:23.105661||2016-a
verduras|||||||2018-07-06 18:33:23.105661||2016-a
frutas|||||||2018-07-06 18:33:23.105661||2016-a
leguminosa|||||||2018-07-06 18:33:23.105661||2016-a
caryhue|||||||2018-07-06 18:33:23.105661||2016-a
lacteos|||||||2018-07-06 18:33:23.105661||2016-a
grasas|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_6|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_1|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_3|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_7|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_8|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_2|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_9|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_4|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim10|||||||2018-07-06 18:33:23.105661||2016-a
seg_alim_5|||||||2018-07-06 18:33:23.105661||2016-a
