id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
programa|||||||2018-07-14 00:33:46.112877||2016-a
folio|||||||2018-07-14 00:33:46.112877||2016-a
folio_sede|||||||2018-07-14 00:33:46.112877||2016-a
ent_fed|||||||2018-07-14 00:33:46.112877||2016-a
munici|||||||2018-07-14 00:33:46.112877||2016-a
locali|||||||2018-07-14 00:33:46.112877||2016-a
folio_enca|||||||2018-07-14 00:33:46.112877||2016-a
tipo_encue|||||||2018-07-14 00:33:46.112877||2016-a
familia_id|||||||2018-07-14 00:33:46.112877||2016-a
int_id|||||||2018-07-14 00:33:46.112877||2016-a
num_per|||||||2018-07-14 00:33:46.112877||2016-a
nombre|||||||2018-07-14 00:33:46.112877||2016-a
ape_pat|||||||2018-07-14 00:33:46.112877||2016-a
ape_mat|||||||2018-07-14 00:33:46.112877||2016-a
con_res|||||||2018-07-14 00:33:46.112877||2016-a
edad|||||||2018-07-14 00:33:46.112877||2016-a
dia_nac|||||||2018-07-14 00:33:46.112877||2016-a
mes_nac|||||||2018-07-14 00:33:46.112877||2016-a
anio_nac|||||||2018-07-14 00:33:46.112877||2016-a
sexo|||||||2018-07-14 00:33:46.112877||2016-a
acta_nac|||||||2018-07-14 00:33:46.112877||2016-a
tie_curp|||||||2018-07-14 00:33:46.112877||2016-a
curp|||||||2018-07-14 00:33:46.112877||2016-a
lug_nac|||||||2018-07-14 00:33:46.112877||2016-a
reside|||||||2018-07-14 00:33:46.112877||2016-a
parentes|||||||2018-07-14 00:33:46.112877||2016-a
padre|||||||2018-07-14 00:33:46.112877||2016-a
madre|||||||2018-07-14 00:33:46.112877||2016-a
edo_civ|||||||2018-07-14 00:33:46.112877||2016-a
enf_art|||||||2018-07-14 00:33:46.112877||2016-a
enf_can|||||||2018-07-14 00:33:46.112877||2016-a
enf_cir|||||||2018-07-14 00:33:46.112877||2016-a
enf_ren|||||||2018-07-14 00:33:46.112877||2016-a
enf_dia|||||||2018-07-14 00:33:46.112877||2016-a
enf_cor|||||||2018-07-14 00:33:46.112877||2016-a
enf_pul|||||||2018-07-14 00:33:46.112877||2016-a
enf_vih|||||||2018-07-14 00:33:46.112877||2016-a
enf_def|||||||2018-07-14 00:33:46.112877||2016-a
enf_hip|||||||2018-07-14 00:33:46.112877||2016-a
enf_obe|||||||2018-07-14 00:33:46.112877||2016-a
discap1|||||||2018-07-14 00:33:46.112877||2016-a
discap2|||||||2018-07-14 00:33:46.112877||2016-a
discap3|||||||2018-07-14 00:33:46.112877||2016-a
discap4|||||||2018-07-14 00:33:46.112877||2016-a
discap5|||||||2018-07-14 00:33:46.112877||2016-a
discap6|||||||2018-07-14 00:33:46.112877||2016-a
discap7|||||||2018-07-14 00:33:46.112877||2016-a
discap9|||||||2018-07-14 00:33:46.112877||2016-a
discap10|||||||2018-07-14 00:33:46.112877||2016-a
gr_lim1|||||||2018-07-14 00:33:46.112877||2016-a
gr_lim2|||||||2018-07-14 00:33:46.112877||2016-a
