id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
folioviv|Identificador de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510||2012-a
foliohog|Identificador del hogar|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5""}"|2012-a
numren|Identificador de la persona|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""01"": ""01"", ""02"": ""02"", ""03"": ""03"", ""04"": ""04"", ""05"": ""05"", ""06"": ""06"", ""07"": ""07"", ""08"": ""08"", ""09"": ""09"", ""10"": ""10"", ""11"": ""11"", ""12"": ""12"", ""13"": ""13"", ""14"": ""14"", ""15"": ""15"", ""16"": ""16"", ""17"": ""17"", ""18"": ""18"", ""19"": ""19"", ""21"": ""21""}"|2012-a
clave|Claves de ingreso|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""P001"": ""Sueldos, salarios o jornal"", ""P002"": ""Destajo"", ""P003"": ""Comisiones y propinas"", ""P004"": ""Horas extras"", ""P005"": ""Incentivos, gratificaciones o premios"", ""P006"": ""Bono, percepción adicional o sobresueldo"", ""P007"": ""Primas vacacionales y otras prestaciones en dinero"", ""P008"": ""Reparto de utilidades del ejercicio 2015"", ""P009"": ""Aguinaldo del ejercicio 2015"", ""P011"": ""Sueldos o salarios"", ""P012"": ""Ganancias/utilidades"", ""P013"": ""Otros ingresos"", ""P014"": ""Monto recibido en el trabajo secundario"", ""P015"": ""Reparto de utilidades del ejercicio 2015"", ""P016"": ""Aguinaldo del ejercicio 2015 del trabajo secundario"", ""P018"": ""Sueldos o salarios del trabajo secundario"", ""P019"": ""Ganancias/utilidades del trabajo secundario"", ""P020"": ""Otros ingresos del trabajo secundario"", ""P021"": ""Total de ingresos de otros trabajos realizados el mes pasado"", ""P022"": ""Total de ingresos de trabajos realizados en los cinco meses anteriores al mes pasado"", ""P023"": ""Alquiler de tierras y terrenos, dentro y fuera del país"", ""P024"": ""Alquiler de casas, edificios, locales y otros inmuebles que están dentro del país"", ""P025"": ""Alquiler de casas, edificios, locales y otros inmuebles que están fuera del país"", ""P026"": ""Intereses provenientes de inversiones a plazo fijo"", ""P027"": ""Intereses provenientes de cuentas de ahorro"", ""P028"": ""Intereses provenientes de préstamos a terceros"", ""P029"": ""Rendimientos provenientes de bonos o cédulas"", ""P030"": ""Alquiler de marcas, patentes y derechos de autor"", ""P031"": ""Otros ingresos por renta de la propiedad no considerados en los anteriores"", ""P032"": ""Jubilaciones y/o pensiones originadas dentro del país"", ""P033"": ""Jubilaciones y/o pensiones provenientes de otro(s) país(es)"", ""P034"": ""Indemnizaciones recibidas de seguros contra riesgos a terceros"", ""P035"": ""Indemnizaciones por accidentes de trabajo"", ""P036"": ""Indemnizaciones por despido y retiro voluntario"", ""P037"": ""Becas provenientes de instituciones privadas o de organismos no gubernamentales"", ""P038"": ""Becas provenientes del gobierno"", ""P039"": ""Donativos provenientes de organizaciones no gubernamentales"", ""P040"": ""Donativos en dinero provenientes de otros hogares"", ""P041"": ""Ingresos provenientes de otros países"", ""P042"": ""Beneficio de PROSPERA (OPORTUNIDADES, PROGRESA)"", ""P043"": ""Beneficio de PROCAMPO"", ""P044"": ""Beneficio del programa 65 y más"", ""P045"": ""Beneficio de otros programas para adultos mayores"", ""P046"": ""Beneficio de la Tarjeta SinHambre (PAL)"", ""P047"": ""Beneficio del programa de Empleo Temporal"", ""P048"": ""Beneficios de otros programas sociales"", ""P049"": ""Total de ingresos no considerados en los anteriores"", ""P050"": ""Ingresos anuales por rendimientos de acciones que posea de alguna empresa en la que no trabajó"", ""P051"": ""Retiro de inversiones, ahorros, tandas, cajas de ahorro etcétera"", ""P052"": ""Pagos recibidos de préstamos que usted hizo a personas ajenas al hogar"", ""P053"": ""Préstamos recibidos de personas ajenas al hogar o instituciones, se excluyen préstamos hipotecarios"", ""P054"": ""Venta de monedas, metales preciosos, joyas y obras de arte, etcétera"", ""P055"": ""Venta de acciones, bonos y cédulas"", ""P056"": ""Venta de marcas, patentes y derechos de autor"", ""P057"": ""Herencias, dotes y legados"", ""P058"": ""Loterías y juegos de azar"", ""P059"": ""Venta de casas, condominios, etcétera, que están dentro y fuera del país"", ""P060"": ""Venta de terrenos que están dentro y fuera del país"", ""P061"": ""Venta de maquinaria, equipos, animales de producción,vehículos, etcétera, utilizados en el negocio"", ""P062"": ""Venta de vehículos"", ""P063"": ""Venta de aparatos eléctricos de segunda mano, etcétera"", ""P064"": ""Préstamos hipotecarios por bienes inmuebles: casas, terrenos, edificios y locales"", ""P065"": ""Seguros de vida"", ""P066"": ""Otras percepciones financieras y de capital no consideradas en las anteriores"", ""P067"": ""Ingreso por trabajo de personas menores de 12 años"", ""P068"": ""Por negocios con tipo de actividad industrial del trabajo principal"", ""P069"": ""Por negocios con tipo de actividad comercial del trabajo principal"", ""P070"": ""Por negocios  prestadores  de servicios del trabajo principal"", ""P071"": ""Por negocios con actividades agrícolas del trabajo principal"", ""P072"": ""Por negocios con actividades de cría y explotación de animales"", ""P073"": ""Por negocios con actividades de recolección, reforestación y tala de árboles"", ""P074"": ""Por negocios con actividades de pesca, caza y captura de animales"", ""P075"": ""Por negocios con tipo de actividad industrial del trabajo secundario"", ""P076"": ""Por negocios con tipo de actividad comercial del trabajo secundario"", ""P077"": ""Por negocios  prestadores  de servicios del trabajo secundario"", ""P078"": ""Por negocios con actividades agrícolas del trabajo secundario"", ""P079"": ""Por negocios con actividades de cría y explotación de animales"", ""P080"": ""Por negocios con actividades de recolección, reforestación y tala de árboles"", ""P081"": ""Por negocios con actividades de pesca, caza y captura de animales""}"|2012-a
mes_1|Primer mes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""07"": ""Julio"", ""08"": ""Agosto"", ""09"": ""Septiembre"", ""10"": ""Octubre""}"|2012-a
mes_2|Segundo mes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""06"": ""Junio"", ""07"": ""Julio"", ""08"": ""Agosto"", ""09"": ""Septiembre""}"|2012-a
mes_3|Tercer mes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""05"": ""Mayo"", ""06"": ""Junio"", ""07"": ""Julio"", ""08"": ""Agosto""}"|2012-a
mes_4|Cuarto mes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""04"": ""Abril"", ""05"": ""Mayo"", ""06"": ""Junio"", ""07"": ""Julio""}"|2012-a
mes_5|Quinto mes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""03"": ""Marzo"", ""04"": ""Abril"", ""05"": ""Mayo"", ""06"": ""Junio""}"|2012-a
mes_6|Sexto mes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:39:12.922510|"{""02"": ""Febrero"", ""03"": ""Marzo"", ""04"": ""Abril"", ""05"": ""Mayo""}"|2012-a
