id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
folioviv|Identificador de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
foliohog|Identificador del hogar|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5""}"|2012-a
numren|Identificador de la persona|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""01"": ""01"", ""02"": ""02"", ""03"": ""03"", ""04"": ""04"", ""05"": ""05"", ""06"": ""06"", ""07"": ""07"", ""08"": ""08"", ""09"": ""09"", ""10"": ""10"", ""11"": ""11"", ""12"": ""12"", ""13"": ""13"", ""14"": ""14"", ""15"": ""15"", ""16"": ""16"", ""17"": ""17"", ""18"": ""18"", ""19"": ""19""}"|2012-a
id_trabajo|Identificador del trabajo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Trabajo principal"", ""2"": ""Trabajo secundario""}"|2012-a
trapais|Trabajo en el país|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
subor|Fue subordinado|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
indep|Trabajo por su cuenta|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
personal|Tuvo personal|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
pago|Como le pagaron|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Recibe un pago"", ""2"": ""Es un trabajador(a) sin pago en un negocio del hogar"", ""3"": ""Es un trabajador(a) sin pago en un negocio que no es del hogar""}"|2012-a
contrato|Tuvo contrato|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
tipocontr|Tipo de contrato|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695|"{""1"": ""Es temporal o por obra determinada"", ""2"": ""Es de base, planta o por tiempo indeterminado""}"|2012-a
pres_1|Servicios IMSS|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_2|Servicios ISSSTE|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_3|Servicios ISSSTE estatal|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_4|Servicios PEMEX, ejército o marina|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_5|Servicios médicos de universidades|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_6|Servicios médicos privados|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_7|Incapacidad médica|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_8|Aguinaldo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_9|Vacaciones|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_10|Reparto de utilidades|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_11|Crédito de vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_12|Guarderías|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_13|Cuidados maternos o paternos|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_14|SAR o AFORE|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_15|Seguro de vida|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_16|Préstamos|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_17|Prima vacacional|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_18|Apoyos educativos|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_19|Servicio de comedor|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_20|Crédito FONACOT|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_21|Ayuda de despensas|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_22|Ayuda en el pago de servicios|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_23|Pensión en caso de invalidez|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_24|Pensión en caso de fallecimiento|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_25|Otras prestaciones|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
pres_26|No tiene prestaciones|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
htrab|Horas trabajadas|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-09-26 19:40:19.375695||2012-a
