id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
folioviv|Identificador de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
tipo_viv|Tipo de vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Casa independiente"", ""2"": ""Departamento en edificio"", ""3"": ""Vivienda en vecindad"", ""4"": ""Vivienda en cuarto de azotea"", ""5"": ""Local no construido para habitación"", ""&"": ""&""}"|2012-a
mat_pared|Material de paredes|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Material de desecho"", ""2"": ""Lámina de cartón"", ""3"": ""Lámina de asbesto o metálica"", ""4"": ""Carrizo bambú o palma"", ""5"": ""Embarro o bajareque"", ""6"": ""Madera"", ""7"": ""Adobe"", ""8"": ""Tabique, ladrillo, block, piedra, cantera, cemento o concreto""}"|2012-a
mat_techos|Material de techos|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""01"": ""Material de desecho"", ""02"": ""Lámina de cartón"", ""03"": ""Lámina metálica"", ""04"": ""Lámina de asbesto"", ""05"": ""Lámina de fibrocemento ondulada (techo fijo)"", ""06"": ""Palma o paja"", ""07"": ""Madera o tejamanil"", ""08"": ""Terrado con viguería"", ""09"": ""Teja"", ""10"": ""Losa de concreto o viguetas con bovedilla""}"|2012-a
mat_pisos|Material de pisos|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Tierra"", ""2"": ""Cemento o firme"", ""3"": ""Madera, mosaico u otro recubrimiento"", ""&"": ""&""}"|2012-a
antiguedad|Antigüedad de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
antigua_ne|Antigüedad no especificada de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
cocina|Tiene cocina|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
cocina_dor|Utiliza cocina de dormitorio|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
cuart_dorm|Cuartos dormitorio|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""10"": ""10"", ""11"": ""11"", ""12"": ""12""}"|2012-a
num_cuarto|Número de cuartos|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
disp_agua|Disponibilidad de agua|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Agua entubada dentro de la vivienda"", ""2"": ""Agua entubada fuera de la vivienda, pero dentro del terreno"", ""3"": ""Agua entubada de llave pública (o hidrante)"", ""4"": ""Captadores de agua de lluvia"", ""5"": ""Agua entubada que acarrean de otra vivienda"", ""6"": ""Agua de pipa"", ""7"": ""Agua de un pozo, río, lago, arroyo u otra""}"|2012-a
dotac_agua|Dotación de agua|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Diario"", ""2"": ""Cada tercer día"", ""3"": ""Dos veces por semana"", ""4"": ""Una vez por semana"", ""5"": ""De vez en cuando""}"|2012-a
excusado|Tiene excusado|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
uso_compar|Uso compartido del sanitario|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
sanit_agua|Sanitario conexión agua|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Tiene descarga directa de agua"", ""2"": ""Le echan agua con cubeta"", ""3"": ""No se le puede echar agua""}"|2012-a
biodigest|Dispone de biodigestor|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
bano_comp|Sanitario excusado regadera|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7"", ""8"": ""8"", ""9"": ""9"", ""Sysmiss"": ""Sysmiss""}"|2012-a
bano_excus|Sanitario excusado|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""8"": ""8"", ""9"": ""9"", ""Sysmiss"": ""Sysmiss""}"|2012-a
bano_regad|Sanitario regadera|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""8"": ""8"", ""9"": ""9"", ""Sysmiss"": ""Sysmiss""}"|2012-a
drenaje|Destino de drenaje|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""La red pública"", ""2"": ""Una fosa séptica"", ""3"": ""Una tubería que va a dar a una barranca o grieta"", ""4"": ""Una tubería que va a dar a un río, lago o mar"", ""5"": ""No tiene drenaje""}"|2012-a
disp_elect|Disponibilidad eléctrica|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Del servicio público"", ""2"": ""De una planta particular"", ""3"": ""De panel solar"", ""4"": ""De otra fuente"", ""5"": ""No tiene luz eléctrica""}"|2012-a
focos_inca|Número de focos incandescente|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
focos_ahor|Número de focos ahorradores|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
combustible|Tipo de combustible|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Leña"", ""2"": ""Carbón"", ""3"": ""Gas de tanque"", ""4"": ""Gas natural o de tubería"", ""5"": ""Electricidad"", ""6"": ""Otro combustible""}"|2012-a
estufa_chi|Estufa con chimenea|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
eli_basura|Eliminación de basura|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""La recoge un camión o carrito de basura"", ""2"": ""La tiran en el basurero público"", ""3"": ""La tiran en un contenedor o depósito"", ""4"": ""La queman"", ""5"": ""La entierran"", ""6"": ""La tiran en un terreno baldío o calle"", ""7"": ""La tiran en barranca o grieta"", ""8"": ""La tiran al río, lago o mar""}"|2012-a
tenencia|Tipo de tenencia de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Es rentada"", ""2"": ""Es prestada"", ""3"": ""Es propia pero la están pagando"", ""4"": ""Es propia"", ""5"": ""Está intestada o en litigio"", ""6"": ""Otra situación""}"|2012-a
renta|Monto de la renta mensual|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
estim_pago|Estimación del pago de renta|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
pago_viv|Pago de vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05||2012-a
pago_mesp|Pagó el mes pasado|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
tipo_adqui|Tipo de adquisición|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""La compró hecha"", ""2"": ""La mandó construir"", ""3"": ""La construyó él mismo"", ""4"": ""La obtuvo de otra manera""}"|2012-a
viv_usada|Compro la vivienda usada|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
tipo_finan|Tipo de financiamiento|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Le dió crédito el INFONAVIT, FOVISSSTE o FONHAPO"", ""2"": ""Le dió crédito un banco, sofol o caja de ahorro"", ""3"": ""Le dió crédito otra institución"", ""4"": ""Le prestó un familiar, amigo o prestamista"", ""5"": ""Usó sus propios recursos"", ""&"": ""&""}"|2012-a
num_dueno1|Identificador del primer dueño|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""01"": ""01"", ""02"": ""02"", ""03"": ""03"", ""04"": ""04"", ""05"": ""05"", ""06"": ""06"", ""07"": ""07"", ""08"": ""08"", ""09"": ""09"", ""10"": ""10"", ""11"": ""11""}"|2012-a
hog_dueno1|Hogar del primer dueño|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""1"", ""2"": ""2"", ""3"": ""3""}"|2012-a
num_dueno2|Identificador del segundo dueño|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""01"": ""01"", ""02"": ""02"", ""03"": ""03"", ""04"": ""04"", ""05"": ""05"", ""06"": ""06"", ""07"": ""07""}"|2012-a
hog_dueno2|Hogar del segundo dueño|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""1"", ""2"": ""2""}"|2012-a
escrituras|Escrituras de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""A nombre del dueño"", ""2"": ""A nombre de otra persona"", ""3"": ""No tiene escrituras"", ""4"": ""No sabe""}"|2012-a
lavadero|Dispone de lavadero|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
fregadero|Dispone de fregadero|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
regadera|Dispone de regadera|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
tinaco_azo|Dispone de tinaco|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
cisterna|Dispone de cisterna|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
pileta|Dispone de pileta o tanque|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
calent_sol|Dispone de calentador solar de agua|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
calent_gas|Dispone de calentador de gas|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/regulares/enigh/tradicional/2012/|Vulnerabilidades|Pobreza|2010-2016|2018-04-05|"{""1"": ""Sí"", ""2"": ""No""}"|2012-a
