id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
CONTROL|Número de control|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"Código que distingue a la unidad primaria de muestreo de la que se seleccionaron las viviendas por visitar para aplicar las entrevistas| en cuya construcción los dos primeros dígitos corresponden a la entidad federativa."|na-fixed
VIV_SEL|Número de vivienda seleccionada|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|Número que se asigna a cada vivienda seleccionada al interior de una unidad primaria de muestreo identificada mediante un número de control. El número de vivienda se asigna en forma consecutiva del 1 al n.|na-fixed
HOGAR|Hogar|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|Registra el número de hogares identificados por vivienda.|na-fixed
N_REN|Número de renglón|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|Identifica con un código numérico a cada integrante del hogar|na-fixed
PAREN|Parentesco|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|Identifica la relación o vínculo de cada uno de los integrantes del hogar con el jefe o la jefa del mismo.|na-fixed
SEXO|Sexo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"{1: ""Mujer""| 2: ""Hombre""}'"|na-fixed
EDAD|Edad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|Permite conocer cuántos años cumplidos tiene cada una de las personas que forman parte del hogar. |na-fixed
P3_6|Derecho a atención médica|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|Identifica a las personas que integran el hogar y que tienen derecho a recibir atención médica en instituciones de salud pública o privada.|na-fixed
P3_7|Asistencia a un centro de desarrollo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"Identifica a los integrantes del hogar de 0 a 4 años que asisten a un centro de desarrollo infantil| como estancia| guardería| preescolar o kinder| público o privado."|na-fixed
P3_8|Razón de inasistencia un centro de desarrollo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"{1: ""La mamá o el papá del niño(a) u otro familiar lo cuida/no tiene necesidad""| 2: ""No puede pagar los gastos escolares""| 3: ""No había cupo/no hay guardería| está en malas condiciones o queda lejos""| 4: ""Los horarios no se ajustan a las necesidades de su madre/padre""| 5: ""No fue aceptado(a) por enfermedad o discapacidad""| 6: ""Otra""| 9: ""No sabe""| ""Sysmiss""}' "|na-fixed
P3_9|Asistencia a la escuela|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"{1: ""Sí""| 2: ""No""| ""Sysmiss""}'"|na-fixed
P3_10|Razón de inasistencia a la escuela|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"{1: ""No puede pagar los gastos escolares""| 2: ""Tenía que trabajar para ayudar a los gastos del hogar""| 3: ""No quiso| no le gustó estudiar o no tiene capacidad de estudio""| 4: ""Se unió| casó o embarazó""| 5: ""No había cupo| no hay escuela| está en malas condiciones o queda lejos""| 6: ""Tenía que hacer trabajo doméstico| cuidar a sus hijos o un familiar u otra persona; no lo(a) dejaron estudiar""| 7: ""Se graduó o terminó los estudios""| 8: ""Otra""| 9: ""No sabe""| ""Sysmiss""}' "|na-fixed
P3_11_3|Integrantes con cuidados especiales|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"{1: ""Padece enfermedad crónica""| 2: ""Tiene limitación física""| 3: ""Tiene limitación mental""| 4: ""Padece enfermedad temporal""| ""Sysmiss""}'"|na-fixed
TLOC|Tamaño de localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/enut/2014/||||2018-07-26 23:46:03.963784|"{1: ""100|000 y más""| 2: ""15|000 a 99|999""| 3: ""2|500 a 14|999""| 4: ""Menos de 2|500""}'"|na-fixed
