id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
producto|Nombre del proyecto estadístico al que pertenecen los datos.||http://www.beta.inegi.org.mx/servicios/api_biinegi.html|financieros|financieros|anual|2017-08-23 22:38:23.558588|"Nombre del proyecto estadístico al que pertenecen los datos| en este caso aplica la denominación Estadística de Finanzas Púbicas Estatales y Municipales."|1989-a
cobertura|Área geográfica||http://www.beta.inegi.org.mx/servicios/api_biinegi.html|financieros|financieros|anual|2017-08-23 22:38:23.558588|Área geográfica a la que están referidos los indicadores estadísticos.|1989-a
anio|Ano de referencia||http://www.beta.inegi.org.mx/servicios/api_biinegi.html|financieros|financieros|anual|2017-08-23 22:38:23.558588|Año de referencia de la información.|1989-a
id_entidad|Clave de la entidad||http://www.beta.inegi.org.mx/servicios/api_biinegi.html||financieros|anual|2017-08-23 22:38:23.558588|"Clave de la entidad según Catálogo de Entidades| Municipios y Localidades del INEGI."|1989-a
tema|Categoría||http://www.beta.inegi.org.mx/servicios/api_biinegi.html||financieros|anual|2017-08-23 22:38:23.558588|"Categoría correspondiente al mayor nivel de agregación según Catálogo de Claves de la estadística de Finanzas Públicas Estatales y Municipales|  refiere a ingresos y egresos"|1989-a
categoria|Nivel de desglose conceptual||http://www.beta.inegi.org.mx/servicios/api_biinegi.html||financieros|anual|2017-08-23 22:38:23.558588|Nivel de desglose conceptual según Catálogo de Claves de la Estadística de Finanzas Públicas Estatales y Municipales.|1989-a
descripcion|Descripción del concepto financiero||http://www.beta.inegi.org.mx/servicios/api_biinegi.html||financieros|anual|2017-08-23 22:38:23.558588|"Descripción del concepto financiero según Catálogo de Claves de la Estadística de Finanzas Públicas Estatales y Municipales; para una consulta de dichos conceptos utilizados en el proyecto| consulte la Síntesis Metodológica de la EFIPEM en la siguiente liga: http://internet.contenidos.inegi.org.mx/contenidos/productos//prod_serv/contenidos/espanol/bvinegi/productos/nueva_estruc/702825085926.pdf | es necesario puntualizar que los términos encuentran descritos a nivel de capitulo."|1989-a
cifra|valor en pesos||http://www.beta.inegi.org.mx/servicios/api_biinegi.html||financieros|anual|2017-08-23 22:38:23.558588|Valor en pesos correspondiente a cada categoría|1989-a
desc_estatus|estates de las cifras||http://www.beta.inegi.org.mx/servicios/api_biinegi.html||financieros|anual|2017-08-23 22:38:23.558588|Estatus de las cifras conforme a los Lineamientos de Cambios a la información divulgada en las publicaciones estadísticas y geográficas del INEGI|1989-a
actualizacion_sedesol|Actualización sedesol|SEDESOL|||||2017-08-23 22:38:23.558588||1989-a
data_date|fecha del dato|SEDESOL|||||2017-08-23 22:38:23.558588||1989-a
