id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidad|Entidad federativa|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
gobernador|Gobernador|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
leyocodigo|Ley o código|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
articulos|Artículos|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
listanominalopadron|Lista nominal|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
fechadeconsulta|Fecha de consulta|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
fechadeultimaversion|Fecha de última versión|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
mismaleydelicu|Misma ley del ICU|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
fuente|Fuente|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
fuentesecundaria|Fuente secundaria|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
dias_firmas_gobernador|Días para conseguir firmas de gobernador|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
dias_firmas_diputados|Días para conseguir firmas de diputados|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
dias_firmas_ayuntamiento|Días para conseguir firmas de ayuntamiento|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
restricciones_temporales_gobernador|Restricciones temporales a gobernador|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
restricciones_temporales_diputados|Restricciones temporales a diputados|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
restricciones_temporales_ayuntamiento|Restricciones temporales al ayuntamiento|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-05 23:29:07.537570||na-fixed
actualizacion_sedesol|||||||2018-09-05 23:29:07.537570||na-fixed
data_date|||||||2018-09-05 23:29:07.537570||na-fixed
