id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidad_federativa|Entidad federativa|IMCO||Capacidades|Gobernabilidad|2011-2015|2018-09-03 22:16:34.637206||na-fixed
poblacion_18_mas_2011|Poblaci?n de 18 a?os y m?s 2011|IMCO||Capacidades|Gobernabilidad|2011-2016|2018-09-03 22:16:34.637206||na-fixed
poblacion_18_mas_2013|Poblaci?n de 18 a?os y m?s 2013|IMCO||Capacidades|Gobernabilidad|2011-2017|2018-09-03 22:16:34.637206||na-fixed
poblacion_18_mas_2015|Poblaci?n de 18 a?os y m?s 2015|IMCO||Capacidades|Gobernabilidad|2011-2018|2018-09-03 22:16:34.637206||na-fixed
muy_frecuente_absoluto_2011|Percepci?n de corrupci?n muy frecuente absoluta 2011|IMCO||Capacidades|Gobernabilidad|2011-2019|2018-09-03 22:16:34.637206||na-fixed
muy_frecuente_realtivo_2011|Percepci?n de corrupci?n muy frecuente relativa 2011|IMCO||Capacidades|Gobernabilidad|2011-2020|2018-09-03 22:16:34.637206||na-fixed
frecuente_absoluto_2011|Percepci?n de corrupci?n frecuente absoluta 2011|IMCO||Capacidades|Gobernabilidad|2011-2021|2018-09-03 22:16:34.637206||na-fixed
frecuente_relativo_2011|Percepci?n de corrupci?n frecuente relativa 2011|IMCO||Capacidades|Gobernabilidad|2011-2022|2018-09-03 22:16:34.637206||na-fixed
poco_frecuente_absoluto_2011|Percepci?n de corrupci?n poco frecuente absoluta 2011|IMCO||Capacidades|Gobernabilidad|2011-2023|2018-09-03 22:16:34.637206||na-fixed
poco_frecuente_relativo_2011|Percepci?n de corrupci?n poco frecuente relativa 2011|IMCO||Capacidades|Gobernabilidad|2011-2024|2018-09-03 22:16:34.637206||na-fixed
nunca_absoluto_2011|Percepci?n de corrupci?n nunca absoluta 2011|IMCO||Capacidades|Gobernabilidad|2011-2025|2018-09-03 22:16:34.637206||na-fixed
nunca_relativo_2011|Percepci?n de corrupci?n nunca relativa 2011|IMCO||Capacidades|Gobernabilidad|2011-2026|2018-09-03 22:16:34.637206||na-fixed
muy_frecuente_absoluto_2013|Percepci?n de corrupci?n muy frecuente absoluta 2013|IMCO||Capacidades|Gobernabilidad|2011-2027|2018-09-03 22:16:34.637206||na-fixed
muy_frecuente_realtivo_2013|Percepci?n de corrupci?n muy frecuente relativa 2013|IMCO||Capacidades|Gobernabilidad|2011-2028|2018-09-03 22:16:34.637206||na-fixed
frecuente_absoluto_2013|Percepci?n de corrupci?n frecuente absoluta 2013|IMCO||Capacidades|Gobernabilidad|2011-2029|2018-09-03 22:16:34.637206||na-fixed
frecuente_relativo_2013|Percepci?n de corrupci?n frecuente relativa 2013|IMCO||Capacidades|Gobernabilidad|2011-2030|2018-09-03 22:16:34.637206||na-fixed
poco_frecuente_absoluto_2013|Percepci?n de corrupci?n poco frecuente absoluta 2013|IMCO||Capacidades|Gobernabilidad|2011-2031|2018-09-03 22:16:34.637206||na-fixed
poco_frecuente_relativo_2013|Percepci?n de corrupci?n poco frecuente relativa 2013|IMCO||Capacidades|Gobernabilidad|2011-2032|2018-09-03 22:16:34.637206||na-fixed
nunca_absoluto_2013|Percepci?n de corrupci?n nunca absoluta 2013|IMCO||Capacidades|Gobernabilidad|2011-2033|2018-09-03 22:16:34.637206||na-fixed
nunca_relativo_2013|Percepci?n de corrupci?n nunca relativa 2013|IMCO||Capacidades|Gobernabilidad|2011-2034|2018-09-03 22:16:34.637206||na-fixed
muy_frecuente_absoluto_2015|Percepci?n de corrupci?n muy frecuente absoluta 2015|IMCO||Capacidades|Gobernabilidad|2011-2035|2018-09-03 22:16:34.637206||na-fixed
muy_frecuente_realtivo_2015|Percepci?n de corrupci?n muy frecuente relativa 2015|IMCO||Capacidades|Gobernabilidad|2011-2036|2018-09-03 22:16:34.637206||na-fixed
frecuente_absoluto_2015|Percepci?n de corrupci?n frecuente absoluta 2015|IMCO||Capacidades|Gobernabilidad|2011-2037|2018-09-03 22:16:34.637206||na-fixed
frecuente_relativo_2015|Percepci?n de corrupci?n frecuente relativa 2015|IMCO||Capacidades|Gobernabilidad|2011-2038|2018-09-03 22:16:34.637206||na-fixed
poco_frecuente_absoluto_2015|Percepci?n de corrupci?n poco frecuente absoluta 2015|IMCO||Capacidades|Gobernabilidad|2011-2039|2018-09-03 22:16:34.637206||na-fixed
poco_frecuente_relativo_2015|Percepci?n de corrupci?n poco frecuente relativa 2015|IMCO||Capacidades|Gobernabilidad|2011-2040|2018-09-03 22:16:34.637206||na-fixed
nunca_absoluto_2015|Percepci?n de corrupci?n nunca absoluta 2015|IMCO||Capacidades|Gobernabilidad|2011-2041|2018-09-03 22:16:34.637206||na-fixed
nunca_relativo_2015|Percepci?n de corrupci?n nunca relativa 2015|IMCO||Capacidades|Gobernabilidad|2011-2042|2018-09-03 22:16:34.637206||na-fixed
actualizacion_sedesol|||||||2018-09-03 22:16:34.637206||na-fixed
data_date|||||||2018-09-03 22:16:34.637206||na-fixed
