id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidadfederativa|Entidad Federativa|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
secciones_2006|Secciones en 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
casillas_2006|Casillas en 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
pan_2006|Votos PAN 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
pri_2006|Votos PRI 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
prd_2006|Votos PRD 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
pvem_2006|Votos PVEM 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
pt_2006|Votos PT 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
movimientociudadano_2006|Votos Mov Ciudadano 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
nuevaalianza_2006|Votos Nueva Alianza 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
coalicionpripvem_2006|Votos Coalici?n PRI PVEM 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
coalicionprdptmc_2006|Votos Coalici?n PRD PT MC 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
coalicionprdpt_2006|Votos Coalici?n PRD PT 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
coalicionprdmc_2006|Votos Coalici?n PRD MC 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
coalicionptmc_2006|Votos Coalici?n PT MC 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
noregistrados_2006|Votos No Registrados 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
nulos_2006|Votos nulos 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
total_2006|Total de votos 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
listanominal_2006|Lista nominal 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
participacion_2006|Participaci?n 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
observaciones_2006|Observaciones 2006|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
secciones_2012|Secciones en 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
casillas_2012|Casillas en 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
pan_2012|Votos PAN 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
alianzapormexico_2012|Votos Alianza Por M?xico 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
porelbiendetodos_2012|Votos por el bien de todos 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
nuevaalianza_2012|Votos Nueva Alianza 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
alternativa_2012|Votos Alternativa 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
noregistrados_2012||IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
validos_2012|Votos No Registrados 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
nulos_2012|Votos nulos 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
total_2012|Total de votos 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
listanominal_2012|Lista nominal 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
participacion_2012|Participaci?n 2012|IMCO||Capacidades|Gobernabilidad|2006-2012|2018-09-03 21:28:03.261057||na-fixed
actualizacion_sedesol|||||||2018-09-03 21:28:03.261057||na-fixed
data_date|||||||2018-09-03 21:28:03.261057||na-fixed
