id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidad_federativa|Entidad federativa|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
participacion_mujeres_julio_2014|Porcentaje de participaci?n femenina en 2014|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
numero_diputados_julio_2015|N?mero total de diputados en 2014|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
diputados_2015|N?mero de diputadas en 2016|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
diputadas_2015|N?mero de diputadas en 2015|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
porcen_diputados_2015|Porcentaje de participaci?n masculina en 2015|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
porcen_diputadas_2015|Porcentaje de participaci?n femenina en 2015|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
numero_diputados_julio_2016|N?mero total de diputados en 2015|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
diputados_2016|N?mero de diputados en 2016|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
diputadas_2016|N?mero de diputadas en 2016|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
porcen_diputados_2016|Porcentaje de participaci?n masculina en 2016|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
porcen_diputadas_2016|Porcentaje de participaci?n femenina en 2016|IMCO||Capacidades|Gobernabilidad|2014-2016|2018-09-03 17:35:24.771852||na-fixed
actualizacion_sedesol|||||||2018-09-03 17:35:24.771852||na-fixed
data_date|||||||2018-09-03 17:35:24.771852||na-fixed
