id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
clavedeentidad|Clave de entidad|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
entidad|Nombre de entidad|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
general|Índice general|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
derecho|Sistema de derecho confiable y objetivo|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
ambiente|Manejo sustentable del medio ambiente|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
sociedad|Sociedad incluyente, preparada y sana|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
politico|Sistema político estable y funcional|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
gobiernos|Gobiernos eficientes y eficaces|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
factores|Mercado de factores|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
economia|Economía estable|IMCO|http://api.imco.org.mx/release/latest/vendor/imco/indices-api/documentos/Competitividad/%C3%8Dndice%20de%20Competitividad%20Estatal/2016-11-29_0900%20Un%20puente%20entre%20dos%20M%C3%A9xicos/Documentos%20de%20resultados/ICE%202016%20Base%20de%20datos.xlsx|Capacidades|Acceso a la Justicia y Gobernabilidad|2014-2016|2018-11-23 19:29:10.571180||na-fixed
