id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidad_federativa|Entidad federativa|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2008|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2009|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2010|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2011|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2012|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2013|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2014|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
agresiones_a_periodistas_2015|Agresiones a periodistas en el anio|IMCO||Capacidades|Gobernabilidad|2008-2015|2018-08-31 23:58:21.185470||na-fixed
actualizacion_sedesol|||||||2018-08-31 23:58:21.185470||na-fixed
data_date|||||||2018-08-31 23:58:21.185470||na-fixed
