id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
ID_VIV|Identificador único de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Identificador único de la vivienda|na-fixed
ID_PERSONA|Identificador único de persona|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Identificador único de la persona|na-fixed
ENT|Clave de la Entidad Federativa|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Entidad Federativa|na-fixed
NOM_ENT|Nombre de la entidad federativa|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Nombre de la entidad federativa|na-fixed
MUN|Clave del Municipio o Delegación|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Municipio o Delegación|na-fixed
NOM_MUN|Nombre del municipio o delegación|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Nombre del municipio o delegación|na-fixed
LOC50K|Clave de la Localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{0001…9999: Localidad de 50 000 y más habitantes, 0000: Localidad menor de 50 000 habitantes}|na-fixed
NOM_LOC|Nombre de la localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Nombre de la localidad|na-fixed
COBERTURA|Tipo de cobertura en el municipio|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1: Municipio censado, 2: Municipio muestreado, 3: Municipio con muestra insuficiente}|na-fixed
ESTRATO|Estrato|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Estrato|na-fixed
UPM|Unidad Primaria de Muestreo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Unidad Primaria de Muestreo|na-fixed
FACTOR|Factor de expansión|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Factor de expansión|na-fixed
NUMPER|Número de persona|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|Número de persona|na-fixed
SEXO|Sexo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Desigualdad de género|2015|2018-08-24 23:07:55.834347|{1: Hombre, 3: Mujer}|na-fixed
EDAD|Edad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Grupos etarios|2015|2018-08-24 23:07:55.834347|{0…109: Años cumplidos, 110: 110 y más años cumplidos, 999: No especificado}|na-fixed
PARENT|Parentesco con el jefe de familia|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1: Jefa(e), 2: Esposa(o) o pareja, 3: Hija(o), 4: Nieta(o), 5: Nuera o yerno, 6: Madre o padre, 7: Suegra(o), 8: Otro parentesco, 9: Sin parentesco, 99: No especificado}|na-fixed
PARENT_OTRO_C|Otro parentesco|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Tipología de hogares|2015|2018-08-24 23:07:55.834347|{TC_PARENTESCO_2015: Descripción por catálogo, 999: No especificado, Nulo: Blanco}|na-fixed
IDENT_MADRE|Identificación de la madre|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1…54: Número de persona, 96: En otra vivienda, 97: Falleció, 98: No sabe, 99: No especificado}|na-fixed
IDENT_PADRE|Identificación del padre|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1…54: Número de persona, 96: En otra vivienda, 97: Falleció, 98: No sabe, 99: No especificado}|na-fixed
SERSALUD|Uso de servicios de salud|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1: IMSS (Seguro Social), 2: ISSSTE, 3: ISSSTE estatal, 4: PEMEX, Defensa o Marina, 5: Centro de Salud u Hospital de la SSA (Seguro Popular), 6: Consultorio, Clínica u hospital privado, 7: Consultorio de farmacia, 8: Otro lugar, 9: No se atiende, 99: No especificado}|na-fixed
AFRODES|Afrodescendientes (autoadscripción)|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Etnicidad|2015|2018-08-24 23:07:55.834347|{1: Sí, 2: Sí, en parte, 3: No, 8: No sabe, 9: No especificado}|na-fixed
ACTA_NAC|Acta de nacimiento|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1: Sí, 2: No, 3: Está registrada en otro país, 9: No especificado}|na-fixed
DHSERSAL1|Afiliación a servicios de salud (primer opción)|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{1: Seguro Popular o Nueva Generación (Siglo XXI), 2: IMSS (Seguro Social), 3: ISSSTE, 4: ISSSTE estatal, 5: PEMEX, Defensa o Marina, 6: Seguro Privado, 7: Otra institución, 8: No está afiliada a serivicios médicos, 9: No especificado}|na-fixed
DHSERSAL2|Afiliación a servicios de salud (segunda opción)|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{2: IMSS (Seguro Social), 3: ISSSTE, 4: ISSSTE estatal, 5: PEMEX, Defensa o Marina, 6: Seguro privado, 7: Otra institución, Nulo: Blanco}|na-fixed
PERTE_INDIGENA|Pertenencia indígena|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Etnicidad|2015|2018-08-24 23:07:55.834347|{1: Sí, 2: Sí, en parte, 3: No, 8: No sabe, 9: No especificado}|na-fixed
ENT_PAIS_NAC|Entidad o país de nacimiento|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{TC_ENTIDAD_PAIS_2015: Descripción por catálogo, 999: No especificado}|na-fixed
NACIONALIDAD|Nacionalidad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades||2015|2018-08-24 23:07:55.834347|{5: Sí, 7: No, 9: No especificado}|na-fixed
HLENGUA|Habla lengua indígena|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Etnicidad|2015|2018-08-24 23:07:55.834347|{1: Sí, 3: No, 9: No especificado, Nulo: Blanco por pase}|na-fixed
QDIALECT_C|Nombre de la lengua indígena|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Etnicidad|2015|2018-08-24 23:07:55.834347|{TC_LENGUA_INDIGENA_2015: Descripción por catálogo, 9999: No especificado, Nulo: Blanco por pase}|na-fixed
QDIALECT_INALI|Nombre de la lengua indígena|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Etnicidad|2015|2018-08-24 23:07:55.834347|{TC_LENGUA_INDIGENA_INALI_2015: Descripción por catálogo, 9000: No especificado, Nulo: Blanco por pase}|na-fixed
HESPANOL|Habla español|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Etnicidad|2015|2018-08-24 23:07:55.834347|{5: Sí, 7: No, 9: No especificado, Nulo: Blanco por pase}|na-fixed
