id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
ID_VIV|Identificador único de la vivienda|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Identificador único de la vivienda|na-fixed
ENT|Clave de la Entidad Federativa|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Entidad Federativa|na-fixed
NOM_ENT|Nombre de la entidad federativa|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Nombre de la entidad federativa|na-fixed
MUN|Clave del Municipio o Delegación|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Municipio o Delegación|na-fixed
NOM_MUN|Nombre del municipio o delegación|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Nombre del municipio o delegación|na-fixed
LOC50K|Clave de la Localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|"{0001…9999: ""Localidad de 50 000 y más habitantes"", 0000: ""Localidad menor de 50 000 habitantes""}'"|na-fixed
NOM_LOC|Nombre de la localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Nombre de la localidad|na-fixed
COBERTURA|Tipo de cobertura en el municipio|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|"{1: ""Municipio censado"", 2: ""Municipio muestreado"", 3: ""Municipio con muestra insuficiente""}'"|na-fixed
ESTRATO|Estrato|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Estrato|na-fixed
UPM|Unidad Primaria de Muestreo|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Unidad Primaria de Muestreo|na-fixed
FACTOR|Factor de expansión|INEGI|http://www.beta.inegi.org.mx/proyectos/enchogares/especiales/intercensal/?init=2|Vulnerabilidades|Sin subtipo|2015|2018-08-25 01:27:40.272027|Factor de expansión|na-fixed
