id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
wkt|geometría||||||2018-06-28 13:47:28.316180||2018-a
cvegeo|Clave de la identificación geográfica|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Clave de la identificación geográfica|2018-a
vivtot|Total de viviendas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|"Viviendas particulares habitadas, deshabitadas, de uso temporal y colectivas.
Incluye a las viviendas particulares sin información de sus ocupantes."|2018-a
tvivhab|Total de viviendas habitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|"Viviendas particulares y colectivas habitadas.
Incluye a las viviendas particulares sin información de sus ocupantes."|2018-a
p_tvivhab|% Total de viviendas habitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir el total de viviendas habitadas entre el total de viviendas.|2018-a
tvivpar|Total de viviendas particulares|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|"Viviendas particulares habitadas, deshabitadas y de uso temporal.
Incluye a las viviendas particulares sin información de ocupantes."|2018-a
p_tvivpar|%Total de viviendas particulares|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir las viviendas particulares entre el total de viviendas.|2018-a
tvivparhab|Viviendas particulares habitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|"Viviendas particulares habitadas, incluye viviendas móviles y refugios.
Incluye a las viviendas particulares sin información de ocupantes."|2018-a
pvivparhab|% Viviendas particulares habitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir las viviendas particulares habitadas entre el total de viviendas particulares.|2018-a
vivpar_des|Viviendas particulares deshabitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Viviendas particulares deshabitadas.|2018-a
p_vivpar_d|% Viviendas particulares deshabitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir las viviendas particulares deshabitadas entre el total de viviendas particulares.|2018-a
vivpar_ut|Viviendas particulares de uso temporal|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Viviendas particulares de uso temporal.|2018-a
p_vivpar_u|% Viviendas particulares de uso temporal|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir las viviendas particulares de uso temporal entre el total de viviendas particulares.|2018-a
vivnohab|Viviendas particulares no habitadas|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Viviendas particulares deshabitadas y de uso temporal.|2018-a
p_vivnohab|% Viviendas particulares de uso temporal|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir las viviendas particulares no habitadasl entre el total de viviendas particulares.|2018-a
vph_pisodt|Con recubrimiento en piso|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|"Viviendas particulares habitadas con piso de cemento o firme, madera, mosaico u otro material. 
Comprende las viviendas particulares con información de ocupantes.
Excluye viviendas móviles y refugios."|2018-a
p_v_pisodt|% Con recubrimiento en piso|INEGI| http://www.beta.inegi.org.mx/app/mapa/inv/ |geometría|inventario vivenda||2018-06-28 13:47:28.316180|Es el resultado de dividir las viviendas con recubrimiento en piso entre las viviendas particulares habitadas.|2018-a
