id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidad|clave entidad|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
nom_ent|nombre entidad|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
mun|clave municipio|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
nom_mun|nombre municipio|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
loc|clave localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
nom_loc|nombre localidad|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
longitud|longitud|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
latitud|latitud|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
altitud|altitud|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
pobtot|población total|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
pobmas|población masculina|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
pobfem|población femenina|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_0a2|población de 0 a 2 años|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_0a2_m|población masculina de 0 a 2 años|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_0a2_f|población femenina de 0 a 2 años|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_3ymas|población de 3 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_3ymas_m|población masculina de 3 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_3ymas_f|población femenina de 3 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_5ymas|población de 5 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_5ymas_m|población masculina de 5 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_5ymas_f|población femenina de 5 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_12ymas|población de 12 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_12ymas_m|población masculina de 12 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_12ymas_f|población femenina de 12 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_15ymas|población de 15 y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
p_15ymas_m|población masculina de 15 años y más|INEGI|http://www.beta.inegi.org.mx/proyectos/ccpv/2010/default.html?init=2|||2010.0|2017-08-30 01:36:23.739855||na-fixed
