id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
x|||||||2018-07-31 19:18:08.855570||2017-6-m
y|||||||2018-07-31 19:18:08.855570||2017-6-m
cve_leche|||||||2018-07-31 19:18:08.855570||2017-6-m
cve_ent|||||||2018-07-31 19:18:08.855570||2017-6-m
cve_munc|||||||2018-07-31 19:18:08.855570||2017-6-m
cve_locc|||||||2018-07-31 19:18:08.855570||2017-6-m
nom_ent|||||||2018-07-31 19:18:08.855570||2017-6-m
abre_ent|||||||2018-07-31 19:18:08.855570||2017-6-m
nom_mun|||||||2018-07-31 19:18:08.855570||2017-6-m
nom_loc|||||||2018-07-31 19:18:08.855570||2017-6-m
locurb|||||||2018-07-31 19:18:08.855570||2017-6-m
pas|||||||2018-07-31 19:18:08.855570||2017-6-m
calle|||||||2018-07-31 19:18:08.855570||2017-6-m
colonia|||||||2018-07-31 19:18:08.855570||2017-6-m
refncia|||||||2018-07-31 19:18:08.855570||2017-6-m
familias|||||||2018-07-31 19:18:08.855570||2017-6-m
beneficiar|||||||2018-07-31 19:18:08.855570||2017-6-m
nin0a12|||||||2018-07-31 19:18:08.855570||2017-6-m
gestlac|||||||2018-07-31 19:18:08.855570||2017-6-m
enfcrodis|||||||2018-07-31 19:18:08.855570||2017-6-m
adul60_|||||||2018-07-31 19:18:08.855570||2017-6-m
ben13a15|||||||2018-07-31 19:18:08.855570||2017-6-m
muj45a59|||||||2018-07-31 19:18:08.855570||2017-6-m
ml_tventa|||||||2018-07-31 19:18:08.855570||2017-6-m
inioper|||||||2018-07-31 19:18:08.855570||2017-6-m
leche|||||||2018-07-31 19:18:08.855570||2017-6-m
ncontr|||||||2018-07-31 19:18:08.855570||2017-6-m
contrato|||||||2018-07-31 19:18:08.855570||2017-6-m
nloca|||||||2018-07-31 19:18:08.855570||2017-6-m
local|||||||2018-07-31 19:18:08.855570||2017-6-m
turno|||||||2018-07-31 19:18:08.855570||2017-6-m
tmatini|||||||2018-07-31 19:18:08.855570||2017-6-m
tmatfin|||||||2018-07-31 19:18:08.855570||2017-6-m
tvesini|||||||2018-07-31 19:18:08.855570||2017-6-m
tvesfin|||||||2018-07-31 19:18:08.855570||2017-6-m
litros|||||||2018-07-31 19:18:08.855570||2017-6-m
ml_tlech|||||||2018-07-31 19:18:08.855570||2017-6-m
tipo|||||||2018-07-31 19:18:08.855570||2017-6-m
habitantes|||||||2018-07-31 19:18:08.855570||2017-6-m
mujeres|||||||2018-07-31 19:18:08.855570||2017-6-m
hombres|||||||2018-07-31 19:18:08.855570||2017-6-m
ageb|||||||2018-07-31 19:18:08.855570||2017-6-m
cpostal|||||||2018-07-31 19:18:08.855570||2017-6-m
promotor|||||||2018-07-31 19:18:08.855570||2017-6-m
superviso|||||||2018-07-31 19:18:08.855570||2017-6-m
concesio|||||||2018-07-31 19:18:08.855570||2017-6-m
dnruta|||||||2018-07-31 19:18:08.855570||2017-6-m
dsecuencia|||||||2018-07-31 19:18:08.855570||2017-6-m
dkms|||||||2018-07-31 19:18:08.855570||2017-6-m
dtiempo|||||||2018-07-31 19:18:08.855570||2017-6-m
dsubsidia|||||||2018-07-31 19:18:08.855570||2017-6-m
dfrisia|||||||2018-07-31 19:18:08.855570||2017-6-m
dinstitu|||||||2018-07-31 19:18:08.855570||2017-6-m
dsemides|||||||2018-07-31 19:18:08.855570||2017-6-m
dfresa|||||||2018-07-31 19:18:08.855570||2017-6-m
dvainilla|||||||2018-07-31 19:18:08.855570||2017-6-m
dchocolate|||||||2018-07-31 19:18:08.855570||2017-6-m
ltsbenmes|||||||2018-07-31 19:18:08.855570||2017-6-m
actualizacion_sedesol|||||||2018-07-31 19:18:08.855570||2017-6-m
data_date|||||||2018-07-31 19:18:08.855570||2017-6-m
