id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
programa|||||||2018-04-11 21:16:24.153786||2017-a
folio|||||||2018-04-11 21:16:24.153786||2017-a
folio_sede|||||||2018-04-11 21:16:24.153786||2017-a
ent_fed|||||||2018-04-11 21:16:24.153786||2017-a
munici|||||||2018-04-11 21:16:24.153786||2017-a
locali|||||||2018-04-11 21:16:24.153786||2017-a
folio_enca|||||||2018-04-11 21:16:24.153786||2017-a
tipo_encue|||||||2018-04-11 21:16:24.153786||2017-a
familia_id|||||||2018-04-11 21:16:24.153786||2017-a
vtot_cua|||||||2018-04-11 21:16:24.153786||2017-a
vcuarto_d|||||||2018-04-11 21:16:24.153786||2017-a
vcua_dor|||||||2018-04-11 21:16:24.153786||2017-a
vpiso_viv|||||||2018-04-11 21:16:24.153786||2017-a
vcua_pis_t|||||||2018-04-11 21:16:24.153786||2017-a
vtech_viv|||||||2018-04-11 21:16:24.153786||2017-a
vmuro_viv|||||||2018-04-11 21:16:24.153786||2017-a
vagua|||||||2018-04-11 21:16:24.153786||2017-a
vescusado|||||||2018-04-11 21:16:24.153786||2017-a
vuso_exc|||||||2018-04-11 21:16:24.153786||2017-a
vcon_dren|||||||2018-04-11 21:16:24.153786||2017-a
vluz_ele|||||||2018-04-11 21:16:24.153786||2017-a
vfocos|||||||2018-04-11 21:16:24.153786||2017-a
vestgas|||||||2018-04-11 21:16:24.153786||2017-a
vsir_est|||||||2018-04-11 21:16:24.153786||2017-a
vrefri|||||||2018-04-11 21:16:24.153786||2017-a
vsir_refr|||||||2018-04-11 21:16:24.153786||2017-a
vlicuadora|||||||2018-04-11 21:16:24.153786||2017-a
vsir_lic|||||||2018-04-11 21:16:24.153786||2017-a
vmicro|||||||2018-04-11 21:16:24.153786||2017-a
vsir_micro|||||||2018-04-11 21:16:24.153786||2017-a
vfregadero|||||||2018-04-11 21:16:24.153786||2017-a
vsir_freg|||||||2018-04-11 21:16:24.153786||2017-a
vlavadora|||||||2018-04-11 21:16:24.153786||2017-a
vsir_lava|||||||2018-04-11 21:16:24.153786||2017-a
vplancha|||||||2018-04-11 21:16:24.153786||2017-a
vsir_plan|||||||2018-04-11 21:16:24.153786||2017-a
vtinaco|||||||2018-04-11 21:16:24.153786||2017-a
vsir_tina|||||||2018-04-11 21:16:24.153786||2017-a
vcal_agua|||||||2018-04-11 21:16:24.153786||2017-a
vsir_cal|||||||2018-04-11 21:16:24.153786||2017-a
vradio|||||||2018-04-11 21:16:24.153786||2017-a
vsir_radio|||||||2018-04-11 21:16:24.153786||2017-a
vtelevis|||||||2018-04-11 21:16:24.153786||2017-a
vsir_tv|||||||2018-04-11 21:16:24.153786||2017-a
vtelev_dig|||||||2018-04-11 21:16:24.153786||2017-a
vsir_tvdig|||||||2018-04-11 21:16:24.153786||2017-a
vant_sky|||||||2018-04-11 21:16:24.153786||2017-a
vsir_sky|||||||2018-04-11 21:16:24.153786||2017-a
vvideocas|||||||2018-04-11 21:16:24.153786||2017-a
vsir_vid|||||||2018-04-11 21:16:24.153786||2017-a
vtelefon|||||||2018-04-11 21:16:24.153786||2017-a
vsir_telef|||||||2018-04-11 21:16:24.153786||2017-a
vcelular|||||||2018-04-11 21:16:24.153786||2017-a
vsir_cel|||||||2018-04-11 21:16:24.153786||2017-a
vcompu|||||||2018-04-11 21:16:24.153786||2017-a
vsir_compu|||||||2018-04-11 21:16:24.153786||2017-a
vclima|||||||2018-04-11 21:16:24.153786||2017-a
vsir_clima|||||||2018-04-11 21:16:24.153786||2017-a
vvehiculo|||||||2018-04-11 21:16:24.153786||2017-a
vsir_vehi|||||||2018-04-11 21:16:24.153786||2017-a
vtractor|||||||2018-04-11 21:16:24.153786||2017-a
vsir_trac|||||||2018-04-11 21:16:24.153786||2017-a
vinternet|||||||2018-04-11 21:16:24.153786||2017-a
vsir_inter|||||||2018-04-11 21:16:24.153786||2017-a
vtraduc|||||||2018-04-11 21:16:24.153786||2017-a
vverdad|||||||2018-04-11 21:16:24.153786||2017-a
vpobre|||||||2018-04-11 21:16:24.153786||2017-a
observa|||||||2018-04-11 21:16:24.153786||2017-a
id_corte|||||||2018-04-11 21:16:24.153786||2017-a
actualizacion_sedesol|||||||2018-04-11 21:16:24.153786||2017-a
data_date|||||||2018-04-11 21:16:24.153786||2017-a
