id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
anio|Año de pago del beneficio.|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
cve_ent|Clave de entidad|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
cve_muni|Clave de municipio|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
cve_programa|Clave de programa social|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
cve_padron|Clave de padrón|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
tipo|Tipo de agregación|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
temporalidad|Temporalidad|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
mes|Mes|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
nivel|Nivel de agregación|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
grupo|Grupo de agregación|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
n_beneficiarios|Número de beneficiarios|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
suma_importe|Suma del importe monetario|Sedesol DGGPB|http://pub.sedesol.gob.mx/spp/|Cobertura|Padrón|2011-2016|2018-03-06 19:01:21.521143||2017-a
actualizacion_sedesol|Fecha de actualización en Sedesol|Sedesol|http://pub.sedesol.gob.mx/spp/||||2018-03-06 19:01:21.521143||2017-a
data_date|Año.|Sedesol|http://pub.sedesol.gob.mx/spp/||||2018-03-06 19:01:21.521143||2017-a
