id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
E13|Total consultorios|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Total de consultorios de especialidades (suma de la variable C1301 a la C1321) |na-fixed
C1301|Medicina general y/o familiar|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en Medicina general|na-fixed
C1302|Cirugía|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en cirugía|na-fixed
C1303|Ginecoobstetricia|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en ginecoobstetricia|na-fixed
C1304|Medicina interna|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en medicina interna|na-fixed
C1305|Pediatría|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en pediatría|na-fixed
C1306|Odontología|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en odontología|na-fixed
C1307|Dermatología|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en dermatología|na-fixed
C1308|Oftalmología|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en oftalmología|na-fixed
C1309|Otorrinolaringología|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en otorrinolaringología|na-fixed
C1310|Psiquiatría|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en psiquiatría|na-fixed
C1311|Traumatología y ortopedia|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en traumatología y ortopedia|na-fixed
C1312|Salud reproductiva / planificación familiar)|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en salud reproductiva / planificación familiar)|na-fixed
C1313|Psicología y/o salud mental|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios  y Psicología y|na-fixed
C1314|Medicina preventiva|DGIS Salud|http://www.dgis.salud.gob.mx/contenidos/basesdedatos/estandar_gobmx.html|Capacidad por Infraestructura|Sistema de Salud|2001-2015|2018-07-31 19:35:43.442975|Número de consultorios en medicina preventiva|na-fixed
