id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
ano|Año de la información|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Corresponde a la referencia temporal de los datos.|2016-a
cve_ent|Código que identifica a la entidad federativa o estado de producción|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Clave geoestadística consecutiva que se asigna a los estados, formada por dos dígitos de acuerdo con el orden alfabético de sus nombres oficiales según el Marco Geoestadístico Nacional (MGN), el cual fue diseñado por el INEGI, como un sistema único y de carácter nacional para referenciar correctamente la información estadística.|2016-a
nom_ent|Nombre oficial de la entidad federativa o estado|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|La entidad federativa es la unidad geográfica mayor de la división político-administrativa del país a la que hace referencia la información. |2016-a
cv_ddr|Código que identifica  al Distrito de Desarrollo Rural|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Clave interna que utiliza la SAGARPA y el SIAP para identificar el territorio en que se divide la entidad federativa, es un datos consecutivo a nivel nacional que consta de tres dígitos en un consectutivo por orden de entidad federativa.|2016-a
nom_ddr|Nombre que identifica  al Distrito de Desarrollo Rural|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Nombre que utiliza la SAGARPA y el SIAP para identificar la asignación de los datos de producción.|2016-a
cv_cader|Código que identifica  al Centro de Apoyo al Desarrollo Rural|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Clave interna que utiliza la SAGARPA y el SIAP para identificar el territorio en que se divide un Distrito de Desarrollo Rural, consta de dos dígitos en un consectutivo por cada DDR.|2016-a
nom_cader|Nombre que identifica  al Centro de Apoyo al Desarrollo Rural|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Nombre que utiliza la SAGARPA y el SIAP para identificar la asignación de los datos de producción.|2016-a
cve_mun|Código que identifica al municipio o delegación de producción de cada entidad federativa|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Unidad geográfica de la División territorial político-administrativa de los estados y el Distrito Federal de la que hace referencia la información.|2016-a
nom_mun|Nombre del municipio o delegación de producción|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|El municipio refiere a la unidad geográfica de la División territorial político-administrativa de los estados y el Distrito Federal de la que hace referencia la información de acuerdo con el orden alfabético de sus nombres oficiales según el Marco Geoestadístico Nacional (MGN), el cual fue diseñado por el INEGI, como un sistema único y de carácter nacional para referenciar correctamente la información.|2016-a
cv_cul|Código que identifica al cultivo agrícola|SAGARPA|http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php|amenazas|seguridad alimenaria|2003-2016|2018-01-17 02:57:47.673787|Clave asignado en el catálogo de cultivos del SIAP.|2016-a
