id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
cve_muni|Clave de Municipio|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
cve_ent|Clave de Entidad|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
cve_mun|Clave de municipio 3 dígitos|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
pob_2005|Población Municipal 2005|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
pob_2010|Población Municipal 2010|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
nombre_mun|Nombre del Municipio|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
entidad|Nombre de la Entidad|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
org_cuenca|Organismo de Cuenca donde se localiza el municipio.|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
clv_oc|Clave de Organismo de Cuenca donde se localiza el municipio.|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
con_cuenca|Consejo de Cuenca donde se localiza el municipio.|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
cve_conc|Clave de Consejo de Cuenca donde se localiza el municipio.|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
fecha|Fecha de clasificacion|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
declaratoria|Tipo o categoría de sequía en el municipio.|Monitor de Sequía en México|http://smn.cna.gob.mx/es/climatologia/monitor-de-sequia/monitor-de-sequia-en-mexico|Amenaza|Sequía||2017-12-12 20:36:53.920960|El Monitor de Sequía en México consta de un Reporte que contiene una descripción de la sequía en el país, tablas y gráficos de porcentaje de área afectada por sequía a nivel nacional, estatal, 13 Organismos de Cuenca y 26 Consejos de Cuenca de la Comisión Nacional del Agua, además de la contabilidad de municipios afectados por cualquier categoría de sequía.|2017-23-bm
