id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
entidadfederativa|NOMBRE DE LA ENTIDAD FEDERATIVA|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||26/07/18||2016
resultadodelsistemadealertas|RESULTADO DEL SISTEMA DE ALERTAS-SEM?FORO|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||27/07/18|"{1.""Verde""|2.""Amarillo""|3.""Rojo""}'"|2016
indicador1deudapublicayobligacionessobreingresosdelibredisposicion|INDICADOR 1-DEUDA P?BLICA Y OBLIGACIONES-INGRESOS LIBRE DE DISPOSICI?N|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||28/07/18|"'{1.""Verde""|2.""Amarillo""|3.""Rojo""}'"|2016
indicador1|PORCENTAJE-INDICADOR 1-DEUDA P?BLICA Y OBLIGACIONES-INGRESOS LIBRE DE DISPOSICI?N|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||29/07/18||2016
indicador2serviciodeladeudaydeobligacionessobreingresosdelibredisposicion|INDICADOR 2-SERVICIO DE LA DEUDA Y DE OBLIGACIONES SOBRE INGRESOS DE LIBRE DISPOSICI?N|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||30/07/18|"'{1.""Verde""|2.""Amarillo""|3.""Rojo""}'"|2016
indicador2|PORCENTAJE-INDICADOR 2-SERVICIO DE LA DEUDA Y DE OBLIGACIONES SOBRE INGRESOS DE LIBRE DISPOSICI?N|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||31/07/18||2016
indicador3obligacionesacortoplazoyproveedoresycontratistassobreingresostotales|INDICADOR 3-OBLIGACIONES A CORTO PLAZO Y PROVEEDORES Y CONTRATISTAS OBREROS SOBRE INGRESOS TOTALES|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||01/08/18|"'{1.""Verde""|2.""Amarillo""|3.""Rojo""}'"|2016
indicador3|PORCENTAJE-INDICADOR3-OBLIGACIONES A CORTO PLAZO Y PROVEEDORES Y CONTRATISTAS OBREROS SOBRE INGRESOS TOTALES|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||02/08/18||2016
deudayobligaciones|TOTAL DEUDA P?BLICA|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||03/08/18||2016
subtotal|SUBTOTAL DEUDA P?BLICA-SECTOR CENTRAL|SHCP|http://disciplinafinanciera.hacienda.gob.mx/work/models/DISCIPLINA_FINANCIERA/Documentos/SistemaAlertas/2016/CP/Informaci%C3%B3n%20Variables%20SdeA%20Entidades%20Federativas.xlsx|Capacidades|Finanzas P?blicas||04/08/18||2016
